k,x,scalar_root,reduced_kirchhoff,reduced_norm,full_verified,full_kirchhoff,full_norm,vertices,edges
681,0.002306606626378472,0.8316578539178984,1.1102230246251565e-16,1.1102230246251565e-15,False,,,5448,8172
683,0.0022998522639424515,0.8316591398675487,1.5417354892743873e-16,1.7763568394002505e-15,False,,,5464,8196
685,0.0022931373432469137,0.8316604182823102,5.551115123125783e-17,1.9984014443252818e-15,False,,,5480,8220
687,0.0022864615198200993,0.8316616892282127,2.2659825404947043e-16,8.881784197001252e-16,False,,,5496,8244
689,0.002279824453189954,0.8316629527705183,1.1102230246251565e-16,2.220446049250313e-16,False,,,5512,8268
691,0.002273225806826247,0.8316642089737305,6.245004513516506e-17,8.881784197001252e-16,False,,,5528,8292
693,0.00226666524808369,0.8316654579016052,4.954803928258755e-17,8.881784197001252e-16,False,,,5544,8316
695,0.002260142448146039,0.8316666996171628,2.2638141361497333e-16,4.440892098500626e-16,False,,,5560,8340
697,0.002253657081971155,0.8316679341826974,2.8059152223924855e-16,2.220446049250313e-15,False,,,5576,8364
699,0.002247208828237014,0.8316691616597873,1.1102230246251565e-16,1.1102230246251565e-15,False,,,5592,8388
701,0.002240797369288634,0.8316703821093068,2.3418766925686896e-17,4.440892098500626e-16,False,,,5608,8412
703,0.0022344223910859156,0.8316715955914343,4.358492733391728e-17,1.5543122344752192e-15,False,,,5624,8436
705,0.0022280835831523633,0.8316728021656641,1.5612511283791264e-17,2.220446049250313e-16,False,,,5640,8460
707,0.0022217806385246824,0.8316740018908135,2.1445518971763278e-16,1.1102230246251565e-15,False,,,5656,8484
709,0.0022155132537032256,0.8316751948250356,9.519295074422729e-17,8.881784197001252e-16,False,,,5672,8508
711,0.0022092811286032795,0.8316763810258255,2.7538735181131813e-17,0.0,False,,,5688,8532
713,0.0022030839665071666,0.8316775605500323,5.551115123125783e-17,6.661338147750939e-16,False,,,5704,8556
715,0.0021969214740171546,0.8316787334538663,1.6002824065886045e-16,1.5543122344752192e-15,False,,,5720,8580
717,0.0021907933610091517,0.8316798997929091,7.014788055981214e-17,8.881784197001252e-16,False,,,5736,8604
719,0.0021846993405871774,0.8316810596221214,4.141652298894627e-17,7.771561172376096e-16,False,,,5752,8628
